"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"OC_RS";"PACKAGE";"POWER";"SUPPLIER";"TOLERANCE";"VALUE";"VOLTAGE";
"6";"0R";"R_TF-0R-0.0625W-0.05%-0402";"R0402";"R23, R24, R25, R26, R27, R28";"Resistor";"";"";"2073956";"";"";"";"62.5mW";"";"0.05%";"0R";"";
"5";"100nF";"C_TF-100N-25V-0402";"C0402";"C19, C20, C21, C22, C23";"";"";"";"1867948";"";"723-5174";"";"";"";"10%";"100nF";"25V";
"6";"100nF";"C_TF-100N-6V3-0402";"C0402";"C5, C10, C11, C12, C13, C14";"";"";"";"1327657";"";"698-3162";"";"";"";"10%";"100nF";"6.3V";
"1";"100uF";"C293D100U-6V3-10%-B";"3528-21";"C4";"Condensador";"";"293D107X96R3B2TE3";"175-4153";"";"684-3932";"";"";"";"10%";"100uF";"6.3V";
"1";"10uF";"C293D10U-10V-10%-B";"3528-21";"C3";"Condensador";"";"293D106X9010B2TE3";"175-4163";"";"684-3888";"";"";"";"10%";"10uF";"10V";
"1";"120R";"R_TF-120R-0.125W-1%-0402";"R0402";"R1";"Resistor";"";"";"1738838";"";"-";"";"125mW";"";"1%";"120R";"";
"1";"2.2uF";"C_TF-2U2-16V-0603";"C0603";"C9";"";"";"";"1458901";"";"-";"";"";"";"80%";"2.2uF";"16V";
"2";"22pF";"C_TF-22P-50V-0402";"C0402";"C6, C7";"";"";"";"8819629";"";"624-2187";"";"";"";"5%";"22pF";"50V";
"2";"33nF";"C_TF-33N-25V-0402";"C0402";"C15, C16";"";"";"";"1865445";"";"-";"";"";"";"10%";"33nF";"25V";
"4";"4.7uF";"C_TF-4U7-16V-0805";"C0805";"C1, C2, C17, C18";"";"";"";"1845746";"";"";"";"";"";"10%";"4.7uF";"16V";
"1";"470pF";"C_TF-470P-50V-0402";"C0402";"C8";"";"";"";"1414593";"";"-";"";"";"";"10%";"470pF";"50V";
"2";"4K7";"R_TF-4K7-0.125W-1%-0402";"R0402";"R20, R21";"Resistor";"";"";"1738858";"";"-";"";"125mW";"";"1%";"4K7";"";
"21";"68R";"R_TF-68R-0.063W-5%-0402";"R0402";"R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R22, R29, R30";"Resistor";"";"";"1739078";"";"678-9535";"";"63mW";"";"5%";"68R";"";
"1";"ATUC3C0512C";"ATUC3C0512C";"TQFP144";"U3";"ATUC3C0512C";"";"AT32UC3C0512C-ALUT ";"1972028 ";"";"738-0120 ";"";"";"";"";"";"";
"1";"B7B-ZR";"B7B-ZR";"B7B-ZR";"JTAG";"ZH CONNECTOR 1.5 mm, 7 pin 1 row";"";"B7B-ZR";"1830903";"";"";"";"";"";"";"";"";
"1";"BLM18H";"BLM18H";"0603";"L2";"Ferrita";"";"BLM18HG601SN1D";"1515733";"";"724-1378 ";"";"";"";"";"";"";
"1";"BLM41PG600SN1L";"BLM41PG600SN1L";"1806";"L1";"Ferrita BLM41PG600SN1L";"";"";"9526900";"";"188-8665";"";"";"";"";"";"";
"1";"CRYSTAL_49SMX";"CRYSTAL_49SMX";"HC49UP";"Y1";"Crystal";"";"16.000MHZ 49USMX/30/50/40/18PF/ATF";"1640900 ";"";"";"";"";"";"";"";"";
"1";"HSMF-C155";"HSMF-C155";"HSMF-C";"D2";"Led bicolor Rojo y Verde";"";"HSMF-C155";"579-0888 ";"";"486-0430 ";"";"";"";"";"";"";
"1";"LM2937IMP-5.0";"LM2937IMP-5.0";"SOT223";"U1";"400 and 500 mA Low Dropout Voltage Regulator";"";"LM2937IMP-5.0";"1798318";"";"761-5609";"";"";"";"";"";"";
"1";"MAX232ID";"MAX232ID";"SOIC127P600X175-16N";"U6";"DUAL EIA-232 DRIVERS/ RECEIVERS";"";"MAX232ID";"9589791";"75C0974";"";"SOIC-16";"";"Texas Instruments";"";"";"";
"1";"MCP2551";"MCP2551";"SO08";"U4";"CAN Transciever";"";"MCP2551";"1467746 ";"";"";"";"";"";"";"";"";
"7";"MOUNT-HOLE1.5";"MOUNT-HOLE1.5";"1,5";"H1, H2, H3, H4, H5, H6, H7";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";
"1";"MRA4003T3G";"DIODE-DO214AC";"DO214AC";"D3";"DIODE";"";"";"";"";"";"";"";"";"";"";"";
"1";"MT48LC16M16A2";"MT48LC16M16A2";"TSOP54-400";"U5";"256Mb: x16 SDRAM MT48LC16M16A2 - 4 Meg x 16 x 4 banks";"";"MT48LC16M16A2P-7E:D";"1216281";"";"";"";"";"";"";"";"";
"1";"NSR1020MW2T";"NSR1020MW2T";"SOD323";"D1";"Diodo Schottky";"";"NSR1020MW2T1G";"1431027";"";"-";"";"";"";"";"";"";
"1";"REG11173.3";"REG11173.3";"SOT223";"U2";"800mA and 1A Low Dropout (LDO) Positive Regulator";"";"TLV1117-33CDCY";"1494942";"";"660-7975";"";"";"";"";"";"";
"3";"S4B-ZR";"S4B-ZR";"S4B-ZR";"J2, J3, J4";"";"";"S4B-ZR";"9491830";"";"";"";"";"";"";"";"";
"1";"SMDC050F-0.5A-1206";"SMDC050F-0.5A-1206";"1206";"F1";"PolySwitch (TM) Resettable Device";"";"NANOSMDC050F/13.2";"134-5942";"";"138-679";"";"";"";"";"";"";
"1";"SQT-104-01-L-S";"SQT-104-01-L-S";"THD-SQT-104-01-L-S";"J1";"";"";"SQT-104-01-L-S";"1668155";"";"";"";"";"";"";"";"";
